awayTeam,homeTeam,awayScore,homeScore,awayPoss,homePoss,aORtg,hORtg,aDRtg,hDRtg,aeFG%,heFG%,aTO%,hTO%,aOR%,hOR%,aFTR,hFTR
Banco di Sardegna Sassari,Flexx Pistoia,78,70,68,68,114.2,102.5,102.5,114.2,0.637,0.44299999999999995,0.23399999999999999,0.161,0.182,0.484,0.255,0.114
OpenJobMetis Varese,Banco di Sardegna Sassari,87,93,75,75,116.2,124.2,124.2,116.2,0.597,0.606,0.12,0.147,0.16699999999999998,0.10300000000000001,0.10400000000000001,0.5770000000000001
Banco di Sardegna Sassari ,Consultinvest VL Pesaro,107,82,76,76,140.9,107.9,107.9,140.9,0.711,0.455,0.21100000000000002,0.11800000000000001,0.256,0.552,0.25,0.141
Dolomiti Energia Trento,Banco di Sardegna Sassari,90,87,72,72,125.3,121.1,121.1,125.3,0.601,0.556,0.237,0.195,0.47200000000000003,0.423,0.10099999999999999,0.29
Banco di Sardegna Sassari,Pallacanestro Trieste 2004,82,83,74,74,110.6,112.0,112.0,110.6,0.5579999999999999,0.47200000000000003,0.27,0.135,0.302,0.39299999999999996,0.462,0.20800000000000002
Banco di Sardegna Sassari,Virtus Roma,93,88,74,74,126.1,119.3,119.3,126.1,0.552,0.507,0.136,0.054000000000000006,0.222,0.32299999999999995,0.5,0.145
Grissin Bon Reggio Emilia,Gemani Basket Brescia,82,90,74,74,110.1,120.8,120.8,110.1,0.5820000000000001,0.608,0.134,0.121,0.154,0.20600000000000002,0.18,0.16899999999999998
Gemani Basket Brescia,EA7 Emporio Armani Milano,73,65,69,69,106.1,94.5,94.5,106.1,0.56,0.39299999999999996,0.218,0.11599999999999999,0.2,0.267,0.138,0.27899999999999997
Gemani Basket Brescia,Enel Brindisi,78,88,70,70,112.1,126.4,126.4,112.1,0.534,0.614,0.21600000000000003,0.201,0.35700000000000004,0.321,0.254,0.316
Dolomiti Energia Trento,Gemani Basket Brescia,66,92,73,73,90.7,126.5,126.5,90.7,0.535,0.621,0.165,0.179,0.095,0.27,0.08800000000000001,0.242
Gemani Basket Brescia,Pallacanestro Trieste 2004,74,76,71,71,103.6,106.4,106.4,103.6,0.598,0.46,0.23800000000000002,0.14,0.152,0.303,0.125,0.28600000000000003
Gemani Basket Brescia,Fortituto Kontatto Bologna,88,74,68,68,129.1,108.6,108.6,129.1,0.5920000000000001,0.516,0.11699999999999999,0.161,0.294,0.31,0.16899999999999998,0.14300000000000002
OpenJobMetis Varese,Gemani Basket Brescia,74,91,68,68,109.1,134.2,134.2,109.1,0.47700000000000004,0.569,0.177,0.133,0.429,0.19399999999999998,0.203,0.647
Gemani Basket Brescia,Universo De'Longhi Treviso,68,72,67,67,100.8,106.7,106.7,100.8,0.444,0.518,0.11900000000000001,0.20800000000000002,0.297,0.21899999999999997,0.19,0.25
