awayTeam,homeTeam,awayScore,homeScore,awayPoss,homePoss,aORtg,hORtg,aDRtg,hDRtg,aeFG%,heFG%,aTO%,hTO%,aOR%,hOR%,aFTR,hFTR
Consultinvest VL Pesaro,OpenJobMetis Varese ,87,103,74,74,117.7,139.3,139.3,117.7,0.478,0.5760000000000001,0.122,0.068,0.382,0.21600000000000003,0.324,0.409
Flexx Pistoia,OpenJobMetis Varese,60,91,67,67,89.2,135.3,135.3,89.2,0.344,0.6559999999999999,0.08900000000000001,0.163,0.34600000000000003,0.179,0.295,0.18
OpenJobMetis Varese,Universo De'Longhi Treviso,84,79,71,71,118.1,111.1,111.1,118.1,0.613,0.544,0.225,0.155,0.20600000000000002,0.273,0.358,0.298
Pallacanestro Trieste 2004,OpenJobMetis Varese,85,91,71,71,119.1,127.5,127.5,119.1,0.544,0.617,0.154,0.182,0.382,0.25,0.162,0.28300000000000003
Grissin Bon Reggio Emilia,Red October Cantu,92,75,69,69,132.8,108.3,108.3,132.8,0.644,0.485,0.20199999999999999,0.087,0.25,0.4,0.271,0.132
Virtus Roma,Red October Cantu,76,74,71,71,107.6,104.8,104.8,107.6,0.523,0.451,0.142,0.071,0.263,0.233,0.141,0.125
Red October Cantu,Flexx Pistoia,69,77,73,73,94.2,105.1,105.1,94.2,0.43700000000000006,0.574,0.13699999999999998,0.205,0.185,0.21899999999999997,0.222,0.115
Universo De'Longhi Treviso,Red October Cantu,74,77,72,72,102.6,106.8,106.8,102.6,0.434,0.47,0.125,0.166,0.375,0.326,0.105,0.209
Red October Cantu,Pallacanestro Trieste 2004,96,86,71,71,134.9,120.8,120.8,134.9,0.607,0.574,0.098,0.14,0.375,0.233,0.157,0.262
Red October Cantu,Consultinvest VL Pesaro,87,72,76,76,114.7,94.9,94.9,114.7,0.545,0.43200000000000005,0.21100000000000002,0.158,0.255,0.344,0.209,0.22699999999999998
Red October Cantu,Grissin Bon Reggio Emilia,73,85,72,72,101.8,118.6,118.6,101.8,0.485,0.565,0.11199999999999999,0.16699999999999998,0.31,0.273,0.10300000000000001,0.242
Flexx Pistoia,Grissin Bon Reggio Emilia,72,84,72,72,99.6,116.2,116.2,99.6,0.508,0.444,0.221,0.069,0.25,0.303,0.16399999999999998,0.29600000000000004
Grissin Bon Reggio Emilia,Consultinvest VL Pesaro,90,65,74,74,122.4,88.4,88.4,122.4,0.563,0.449,0.19,0.15,0.23399999999999999,0.29,0.281,0.059000000000000004
Grissin Bon Reggio Emilia,Universo De'Longhi Treviso,83,91,73,73,114.3,125.3,125.3,114.3,0.542,0.5870000000000001,0.138,0.124,0.2,0.297,0.3,0.04
Pallacanestro Trieste 2004,Grissin Bon Reggio Emilia,86,87,79,79,108.9,110.2,110.2,108.9,0.621,0.48100000000000004,0.215,0.139,0.10300000000000001,0.368,0.24100000000000002,0.125
Virtus Roma,Grissin Bon Reggio Emilia,88,96,82,82,107.8,117.6,117.6,107.8,0.521,0.53,0.159,0.159,0.25,0.27,0.18100000000000002,0.39399999999999996
Grissin Bon Reggio Emilia,Flexx Pistoia,79,86,69,69,114.7,124.9,124.9,114.7,0.5,0.528,0.102,0.102,0.267,0.368,0.317,0.139
Flexx Pistoia,Universo De'Longhi Treviso,72,87,70,70,103.0,124.5,124.5,103.0,0.616,0.602,0.28600000000000003,0.14300000000000002,0.179,0.2,0.442,0.271
Consultinvest VL Pesaro,Universo De'Longhi Treviso,75,85,79,79,94.8,107.5,107.5,94.8,0.484,0.507,0.16399999999999998,0.177,0.133,0.243,0.222,0.2
Universo De'Longhi Treviso,Virtus Roma,81,69,74,74,109.8,93.5,93.5,109.8,0.5429999999999999,0.46799999999999997,0.122,0.258,0.276,0.316,0.087,0.177
Universo De'Longhi Treviso,Pallacanestro Trieste 2004,61,69,71,71,86.1,97.4,97.4,86.1,0.48200000000000004,0.484,0.212,0.127,0.16699999999999998,0.2,0.105,0.16399999999999998
Universo De'Longhi Treviso,Flexx Pistoia,86,75,70,70,122.7,107.0,107.0,122.7,0.563,0.467,0.157,0.128,0.212,0.28600000000000003,0.41100000000000003,0.295
Virtus Roma,Flexx Pistoia,81,67,74,74,108.9,90.1,90.1,108.9,0.585,0.41100000000000003,0.161,0.14800000000000002,0.17600000000000002,0.207,0.077,0.258
Consultinvest VL Pesaro,Virtus Roma,83,92,74,74,111.4,123.5,123.5,111.4,0.409,0.551,0.081,0.134,0.405,0.282,0.439,0.25
Pallacanestro Trieste 2004,Virtus Roma,72,82,73,73,98.4,112.1,112.1,98.4,0.46399999999999997,0.54,0.13699999999999998,0.15,0.258,0.231,0.1,0.222
Flexx Pistoia,Virtus Roma,81,80,68,68,118.7,117.2,117.2,118.7,0.517,0.583,0.147,0.147,0.3,0.231,0.36200000000000004,0.16699999999999998
Pallacanestro Trieste 2004,Flexx Pistoia,72,76,72,72,100.7,106.2,106.2,100.7,0.46399999999999997,0.542,0.126,0.196,0.32299999999999995,0.19399999999999998,0.1,0.183
Consultinvest VL Pesaro,Flexx Pistoia,79,91,77,77,102.3,117.8,117.8,102.3,0.486,0.507,0.155,0.129,0.22899999999999998,0.293,0.174,0.324
Flexx Pistoia,Pallacanestro Trieste 2004,80,97,75,75,106.8,129.5,129.5,106.8,0.47700000000000004,0.643,0.12,0.107,0.212,0.2,0.258,0.1
Pallacanestro Trieste 2004,Consultinvest VL Pesaro,82,76,73,73,112.9,104.7,104.7,112.9,0.53,0.413,0.151,0.165,0.31,0.316,0.16399999999999998,0.381
